Cidade,Cliente,ClienteId,CodigoPrimesys,Description,Estado,Location,Operadora,PrimeId,SerialName,Servico,Solucao,Tecnologia,TipoNegocio,TipoServico
Juazeiro,COOPERATIVA CENTRAL DE CREDITO DO NORTE NORDESTE CENTRA,173097.0000000,SICR,,BA,,,SICR#SDW-VELO-PAC_JUAZEIRO_POSTO2#00,,SDWAN - VELOCLOUD,202165425,VELOCLOUD,FLEX,SDWAN
Maceió,COOPERATIVA CENTRAL DE CREDITO DO NORTE NORDESTE CENTRA,173098.0000000,SICR,,AL,,,SICR#SDW-VELO-UC_ALAGOAS_SEDE#00,,SDWAN - VELOCLOUD,202165426,VELOCLOUD,FLEX,SDWAN
Maceió,COOPERATIVA CENTRAL DE CREDITO DO NORTE NORDESTE CENTRA,173099.0000000,SICR,,AL,,,SICR#SDW-VELO-PAC_UNIMED_FAROL#00,,SDWAN - VELOCLOUD,202165427,VELOCLOUD,FLEX,SDWAN
Maceió,COOPERATIVA CENTRAL DE CREDITO DO NORTE NORDESTE CENTRA,173100.0000000,SICR,,AL,,,SICR#SDW-VELO-PAC_FORUM_JURISCRED#00,,SDWAN - VELOCLOUD,202165428,VELOCLOUD,FLEX,SDWAN
Maceió,COOPERATIVA CENTRAL DE CREDITO DO NORTE NORDESTE CENTRA,173102.0000000,SICR,,AL,,,SICR#SDW-VELO-UA_PARQUESHOPP_SIC_AL#00,,SDWAN - VELOCLOUD,202165430,VELOCLOUD,FLEX,SDWAN
Maceió,COOPERATIVA CENTRAL DE CREDITO DO NORTE NORDESTE CENTRA,173103.0000000,SICR,,AL,,,SICR#SDW-VELO-UA_FERNANDES_LIMA#00,,SDWAN - VELOCLOUD,202165431,VELOCLOUD,FLEX,SDWAN
Maceió,COOPERATIVA CENTRAL DE CREDITO DO NORTE NORDESTE CENTRA,173104.0000000,SICR,,AL,,,SICR#SDW-VELO-UA_BENDITO_BENTES#00,,SDWAN - VELOCLOUD,202165432,VELOCLOUD,FLEX,SDWAN
Mossoró,COOPERATIVA CENTRAL DE CREDITO DO NORTE NORDESTE CENTRA,173105.0000000,SICR,,RN,,,SICR#SDW-VELO-UC_MOSSORO_SEDE#00,,SDWAN - VELOCLOUD,202165433,VELOCLOUD,FLEX,SDWAN
Natal,COOPERATIVA CENTRAL DE CREDITO DO NORTE NORDESTE CENTRA,173106.0000000,SICR,,RN,,,SICR#SDW-VELO-UC_NATAL_SEDE#00,,SDWAN - VELOCLOUD,202165434,VELOCLOUD,FLEX,SDWAN
Palmeira dos Índios,COOPERATIVA CENTRAL DE CREDITO DO NORTE NORDESTE CENTRA,173107.0000000,SICR,,AL,,,SICR#SDW-VELO-PAC_PALMEIRA_AL#00,,SDWAN - VELOCLOUD,202165435,VELOCLOUD,FLEX,SDWAN
Parnaíba,COOPERATIVA CENTRAL DE CREDITO DO NORTE NORDESTE CENTRA,173108.0000000,SICR,,PI,,,SICR#SDW-VELO-PAC_PARNAIBA#00,,SDWAN - VELOCLOUD,202165436,VELOCLOUD,FLEX,SDWAN
Patos,COOPERATIVA CENTRAL DE CREDITO DO NORTE NORDESTE CENTRA,173109.0000000,SICR,,PB,,,SICR#SDW-VELO-UA_PATOS#00,,SDWAN - VELOCLOUD,202165437,VELOCLOUD,FLEX,SDWAN
Petrolina,COOPERATIVA CENTRAL DE CREDITO DO NORTE NORDESTE CENTRA,173110.0000000,SICR,,PE,,,SICR#SDW-VELO-UC_VALE_SFRANCISCO#00,,SDWAN - VELOCLOUD,202165438,VELOCLOUD,FLEX,SDWAN
Petrolina,COOPERATIVA CENTRAL DE CREDITO DO NORTE NORDESTE CENTRA,173111.0000000,SICR,,PE,,,SICR#SDW-VELO-PAC_PETROLINA#00,,SDWAN - VELOCLOUD,202165439,VELOCLOUD,FLEX,SDWAN
Parnamirim,COOPERATIVA CENTRAL DE CREDITO DO NORTE NORDESTE CENTRA,173113.0000000,SICR,,RN,,,SICR#SDW-VELO-UA_SHOPP_CIDADE_VERDE#00,,SDWAN - VELOCLOUD,202165441,VELOCLOUD,FLEX,SDWAN
Quixadá,COOPERATIVA CENTRAL DE CREDITO DO NORTE NORDESTE CENTRA,173115.0000000,SICR,,CE,,,SICR#SDWVELO-UA_QUIXADA#00,,SDWAN - VELOCLOUD,202165442,VELOCLOUD,FLEX,SDWAN
Recife,COOPERATIVA CENTRAL DE CREDITO DO NORTE NORDESTE CENTRA,173116.0000000,SICR,,PE,,,SICR#SDW-VELO-UA_DORUM#00,,SDWAN - VELOCLOUD,202165443,VELOCLOUD,FLEX,SDWAN
Recife,COOPERATIVA CENTRAL DE CREDITO DO NORTE NORDESTE CENTRA,173117.0000000,SICR,,PE,,,SICR#SDW-VELO-PAC_BOA_VIAGEM#00,,SDWAN - VELOCLOUD,202165444,VELOCLOUD,FLEX,SDWAN
Recife,COOPERATIVA CENTRAL DE CREDITO DO NORTE NORDESTE CENTRA,173119.0000000,SICR,,PE,,,SICR#SDW-VELO-SIC_PERNAMBUCRED_SEDE#00,,SDWAN - VELOCLOUD,202165446,VELOCLOUD,FLEX,SDWAN
Recife,COOPERATIVA CENTRAL DE CREDITO DO NORTE NORDESTE CENTRA,173120.0000000,SICR,,PE,,,SICR#SDW-VELO-UA_IMPERADOR#00,,SDWAN - VELOCLOUD,202165447,VELOCLOUD,FLEX,SDWAN
Recife,COOPERATIVA CENTRAL DE CREDITO DO NORTE NORDESTE CENTRA,173121.0000000,SICR,,PE,,,SICR#SDW-VELO-UA_JUZIADO_ESPECIAL#00,,SDWAN - VELOCLOUD,202165448,VELOCLOUD,FLEX,SDWAN
Recife,COOPERATIVA CENTRAL DE CREDITO DO NORTE NORDESTE CENTRA,173122.0000000,SICR,,PE,,,SICR#SDW-VELO-UC_PERNAMBUCRED_PA#00,,SDWAN - VELOCLOUD,202165449,VELOCLOUD,FLEX,SDWAN
Salvador,COOPERATIVA CENTRAL DE CREDITO DO NORTE NORDESTE CENTRA,173123.0000000,SICR,,BA,,,SICR#SDW-VELO-UC_SALVADOR#00,,SDWAN - VELOCLOUD,202165450,VELOCLOUD,FLEX,SDWAN
São Luís,COOPERATIVA CENTRAL DE CREDITO DO NORTE NORDESTE CENTRA,173124.0000000,SICR,,MA,,,SICR#SDW-VELO-UA_FORUM#00,,SDWAN - VELOCLOUD,202165451,VELOCLOUD,FLEX,SDWAN
São Luís,COOPERATIVA CENTRAL DE CREDITO DO NORTE NORDESTE CENTRA,173125.0000000,SICR,,MA,,,SICR#SDW-VELO-CENTRAL1_LUIS_SEDE#00,,SDWAN - VELOCLOUD,202165452,VELOCLOUD,FLEX,SDWAN
São Luís,COOPERATIVA CENTRAL DE CREDITO DO NORTE NORDESTE CENTRA,173126.0000000,SICR,,MA,,,SICR#SDW-VELO-UC_COOMAMP_SEDE#00,,SDWAN - VELOCLOUD,202165453,VELOCLOUD,FLEX,SDWAN
Sobral,COOPERATIVA CENTRAL DE CREDITO DO NORTE NORDESTE CENTRA,173127.0000000,SICR,,CE,,,SICR#SDW-VELO-UA_SOBRAL#00,,SDWAN - VELOCLOUD,202165454,VELOCLOUD,FLEX,SDWAN
Sousa,COOPERATIVA CENTRAL DE CREDITO DO NORTE NORDESTE CENTRA,173128.0000000,SICR,,PB,,,SICR#SDW-VELO-SICREDI_ALTO#00,,SDWAN - VELOCLOUD,202165455,VELOCLOUD,FLEX,SDWAN
Teresina,COOPERATIVA CENTRAL DE CREDITO DO NORTE NORDESTE CENTRA,173129.0000000,SICR,,PI,,,SICR#SDW-VELO-UC_PIAUI_SEDE#00,,SDWAN - VELOCLOUD,202165456,VELOCLOUD,FLEX,SDWAN
