"_key",templateName,thresholdDuration,thresholdIndex,thresholdMessage,thresholdMetric,thresholdSeverityCode,thresholdType,thresholdValue
60ca2692b24da969131307fa,"Template FORTINET",10,"vpn-029-w2-w1","Quantidade de sessões na interface %thresholdIndex% excedeu o valor de %thresholdValue%",session,1,">",50
60ca2692b24da969131307fb,"Template FORTINET",10,"vpn-029-w1-w3","Quantidade de sessões na interface %thresholdIndex% excedeu o valor de %thresholdValue%",session,1,">",50
60ca2692b24da969131307fc,"Template FORTINET",10,"vpn-029-w1-w2","Quantidade de sessões na interface %thresholdIndex% excedeu o valor de %thresholdValue%",session,1,">",50
60ca2692b24da969131307fe,"Template FORTINET",10,"vpn-029-w1-w1","Quantidade de sessões na interface %thresholdIndex% excedeu o valor de %thresholdValue%",session,1,">",50
60ca2692b24da969131307ff,"Template FORTINET",10,"vpn-017-w2-w3","Quantidade de sessões na interface %thresholdIndex% excedeu o valor de %thresholdValue%",session,1,">",50
60ca2692b24da96913130800,"Template FORTINET",10,"vpn-017-w2-w2","Quantidade de sessões na interface %thresholdIndex% excedeu o valor de %thresholdValue%",session,1,">",50
60ca2692b24da96913130801,"Template FORTINET",10,"vpn-017-w2-w1","Quantidade de sessões na interface %thresholdIndex% excedeu o valor de %thresholdValue%",session,1,">",50
60ca2692b24da96913130802,"Template FORTINET",10,"vpn-017-w1-w3","Quantidade de sessões na interface %thresholdIndex% excedeu o valor de %thresholdValue%",session,1,">",50
60ca2692b24da96913130803,"Template FORTINET",10,"vpn-017-w1-w2","Quantidade de sessões na interface %thresholdIndex% excedeu o valor de %thresholdValue%",session,1,">",50
60ca2692b24da96913130804,"Template FORTINET",10,"vpn-017-w1-w1","Quantidade de sessões na interface %thresholdIndex% excedeu o valor de %thresholdValue%",session,1,">",50
60ca2692b24da96913130805,"Template FORTINET",10,"vpn-011-w2-w3","Quantidade de sessões na interface %thresholdIndex% excedeu o valor de %thresholdValue%",session,1,">",50
