metric,edgeId,linkId,solucao,interface,"alert_close_time","alert_time",id,impact,"last_alert_event",message,priority,status,triggers,update,urgency
status,433,,20197420,GE4,1631877903,1631876403,59f058bb59c9a3f16dbd163a44406098,high,,"Edge 433 entrou em status OFFLINE",high,CLOSED,,,high
linkState,1006,,202041385,GE4,1631875203,1631874903,6ae5028c69fdeb6c6c502210f1b9f297,high,,"Link GE4 entrou em status DISCONNECTED",high,CLOSED,,,high
"packet_loss_percent",1119,,"202061979  ICAT#SDW-VELO-RCE-GER#00",GE4,1631862304,1631851802,48775823a3ce6a37bb022013af612f5b,performance,,"A perda de pacotes da interface GE4 excedeu o valor de 1%",informational,CLOSED,,,low
linkState,408,,20197443,GE4,1631858703,1631858404,a2e1c50105ef16b467f0420daaf178f7,high,,"Link GE4 entrou em status UNSTABLE",high,CLOSED,,,high
"packet_loss_percent",948,,202040651,GE4,1631853004,1631848803,c7f1354646dfca63aa2e167135498b30,performance,,"A perda de pacotes da interface GE4 excedeu o valor de 1%",informational,CLOSED,,,low
"packet_loss_percent",939,,202041335,GE3,1631850902,1631823303,0551b4767f6027911d65085d9f337c55,performance,,"A perda de pacotes da interface GE3 excedeu o valor de 1%",informational,CLOSED,,,low
"packet_loss_percent",948,,202040651,GE3,1631849403,1631842204,dec46b8eecfffdca85e97acb22e86875,performance,,"A perda de pacotes da interface GE3 excedeu o valor de 1%",informational,CLOSED,,,low
"packet_loss_percent",968,,202040664,GE4,1631849403,1631823303,fd2b4ef75294c65980a8ee01ae9ea859,performance,,"A perda de pacotes da interface GE4 excedeu o valor de 1%",informational,CLOSED,,,low
linkState,464,,202168682,GE3,1631845204,1631844902,03c41dfa1e342e162d50956e785b1999,high,,"Link GE3 entrou em status UNSTABLE",high,CLOSED,,,high
status,922,,202038477,SFP2,1631840404,1631840104,0b6d093bb465d368bcefc97541be011c,high,,"Edge 922 entrou em status OFFLINE",high,CLOSED,,,high
status,924,,202041392,SFP2,1631840404,1631840104,9d11effb5b8131d9514e004331be99d0,high,,"Edge 924 entrou em status OFFLINE",high,CLOSED,,,high
status,948,,202040651,GE3,1631837703,1631837403,98c8047a8e7aaf93239bbc197296dc33,high,,"Edge 948 entrou em status DEGRADED",high,CLOSED,,,high
status,948,,202040651,GE4,1631837703,1631837403,973b08cad26685f84622b16cce7e869e,high,,"Edge 948 entrou em status DEGRADED",high,CLOSED,,,high
"packet_loss_percent",1273,,202040637,GE4,1631837403,1631826603,9481ee01bdf4e3759cf2e8e298fe3440,performance,,"A perda de pacotes da interface GE4 excedeu o valor de 1%",informational,CLOSED,,,low
linkState,1273,,202040637,GE4,1631836502,1631836202,240cb1a1df5440ae608a3802c4baa5e1,high,,"Link GE4 entrou em status DISCONNECTED",high,CLOSED,,,high
linkState,952,,202040636,GE4,1631835003,1631828704,d75dcd16e8f400cafbba5b985872ba3f,high,,"Link GE4 entrou em status DISCONNECTED",high,CLOSED,,,high
linkState,379,,20197448,GE4,1631834403,1631834104,c983472625eebba65946ea4bda8ef1f0,high,,"Link GE4 entrou em status DISCONNECTED",high,CLOSED,,,high
"packet_loss_percent",984,,202041367,GE4,1631829603,1631823303,cc399327b9bc1cafb42feda289c0017e,performance,,"A perda de pacotes da interface GE4 excedeu o valor de 1%",informational,CLOSED,,,low
"packet_loss_percent",1562,,202061984,GE4,1631829003,1631823303,782793b4f86e9e36501c98c48fa17e40,performance,,"A perda de pacotes da interface GE4 excedeu o valor de 1%",informational,CLOSED,,,low
linkState,979,,202040627,GE3,1631828403,1631823303,542733bc56f7e0b2dbabb1459c0679f1,high,,"Link GE3 entrou em status DISCONNECTED",high,CLOSED,,,high
linkState,979,,202040627,GE4,1631828403,1631823303,986ed899c6da37cb73e4eaa014a14929,high,,"Link GE4 entrou em status DISCONNECTED",high,CLOSED,,,high
status,979,,202040627,GE3,1631828403,1631823303,bc7d008b335be025b60f2b7322ced49b,high,,"Edge 979 entrou em status OFFLINE",high,CLOSED,,,high
status,979,,202040627,GE4,1631828403,1631823303,19883e714f6f0bf7d68dcb992d99ff5a,high,,"Edge 979 entrou em status OFFLINE",high,CLOSED,,,high
linkState,1007,,202040671,GE3,1631825104,1631823303,8caf4c5f08607bedea02b4a1b358f419,high,,"Link GE3 entrou em status UNSTABLE",high,CLOSED,,,high
linkState,1007,,202040671,GE4,1631825104,1631823303,06874538287bdcba73e515eaa8292b5a,high,,"Link GE4 entrou em status UNSTABLE",high,CLOSED,,,high
status,1007,,202040671,GE3,1631825104,1631823303,27d4c24670cdc1315b5a98e7efe06c90,high,,"Edge 1007 entrou em status OFFLINE",high,CLOSED,,,high
status,1007,,202040671,GE4,1631825104,1631823303,acba4add1eca6ebd4abcd7a23406f7fa,high,,"Edge 1007 entrou em status OFFLINE",high,CLOSED,,,high
status,1269,,202059976,GE3,1631823904,1631823303,1fc167756079f9cd766164a4db6a63ee,high,,"Edge 1269 entrou em status OFFLINE",high,CLOSED,,,high
linkState,1269,,202059976,GE3,1631816703,1631816403,c41b9587f924ffe15112cfbb7479451b,high,,"Link GE3 entrou em status UNSTABLE",high,CLOSED,,,high
status,1269,,202059976,GE3,1631816703,1631816403,5d44a3eaef2c2108919d56a130e5938b,high,,"Edge 1269 entrou em status OFFLINE",high,CLOSED,,,high
status,1269,,202059976,GE3,1631815803,1631814903,d56c56b4a4e2e3653288f28012147baf,high,,"Edge 1269 entrou em status OFFLINE",high,CLOSED,,,high
status,1269,,202059976,GE3,1631815203,1631814903,d56c56b4a4e2e3653288f28012147baf,high,,"Edge 1269 entrou em status OFFLINE",high,CLOSED,,,high
status,1269,,202059976,GE3,1631813703,1631813403,7d13da1c21b2b2c75652aa47ce6f9bcd,high,,"Edge 1269 entrou em status OFFLINE",high,CLOSED,,,high
linkState,1564,,202162232,GE3,1631811003,1631810708,b2efd2d72733c67c61d7b5ba0ecf8d50,high,,"Link GE3 entrou em status UNSTABLE",high,CLOSED,,,high
"packet_loss_percent",984,,201922181,GE4,1631806803,1631795703,9849c64cb40dc31c3aab46a367c400dd,performance,,"A perda de pacotes da interface GE4 excedeu o valor de 1%",informational,CLOSED,,,low
